,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1112,0.05630119641621908,0.0004578823001012272,0.0029947757720947266,4.561215989520309e-06,entropy,28,20,90,50,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 90, 'n_estimators': 50}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7207207207207207,0.7147147147147147,0.7155688622754491,0.7170014325702948,0.0026529505929939867
1113,0.0779436429341634,0.0014095267188743647,0.0053361256917317705,0.0018930116619266465,entropy,28,20,90,70,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 90, 'n_estimators': 70}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1114,0.10027066866556804,0.003289733555918736,0.0059960683186848955,9.79807218387759e-07,entropy,28,20,90,90,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 90, 'n_estimators': 90}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7267267267267268,0.7147147147147147,0.7125748502994012,0.7180054305802809,0.006228456726161005
1115,0.010988076527913412,8.148972027211882e-06,0.001005252202351888,8.036588560871825e-06,entropy,28,20,110,10,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 110, 'n_estimators': 10}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1116,0.03563976287841797,0.0030948731610540084,0.004664182662963867,0.003768434080649447,entropy,28,20,110,30,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 110, 'n_estimators': 30}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1117,0.07662224769592285,0.020746618947710415,0.003663937250773112,0.00047165158381917905,entropy,28,20,110,50,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 110, 'n_estimators': 50}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1118,0.0906209945678711,0.004992595589861293,0.015984137852986652,0.014138358522278504,entropy,28,20,110,70,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 110, 'n_estimators': 70}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1119,0.11127368609110515,0.01711761845841912,0.0073282718658447266,0.0018846389027867665,entropy,28,20,110,90,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 110, 'n_estimators': 90}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1120,0.011322021484375,0.0009388858460096238,0.0009983380635579426,6.836513890459241e-07,entropy,28,20,130,10,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 130, 'n_estimators': 10}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1121,0.03365302085876465,0.0037654103265711706,0.001998265584309896,2.9736021254650284e-07,entropy,28,20,130,30,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 130, 'n_estimators': 30}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
